Local,Descricao
2400.0,Av. Interlagos (Centro/Bairro) a mais 11m. da R. Geraldo Pacheco Valente
2401.0,Av. Interlagos (Bairro/Centro) a menos 30m. da Av. Engº. Eusébio Stevaux
2402.0,Av. Nsª. Srª. do Sabará (Bairro/Centro) nº 421
2403.0,Av. Nsª. Srª. do Sabará (Centro/Bairro) a mais 117m. da R. Drº. Armando da Silva Prado
2404.0,Av. Pirajussara (Bairro/Centro) a menos 270m. da R. Caminho do Engenho
2405.0,Av. Pirajussara (Bairro/Centro) a menos 270m. da R. Caminho do Engenho
2406.0,Av. Profº. Francisco Morato (Bairro/Centro) a menos 70m. R. David Matarasso
2407.0,Av. Profº. Francisco Morato (Bairro/Centro) a menos 70m. R. David Matarasso
2408.0,Av. Profº. Francisco Morato (Centro/Bairro) a menos 94m. R. João Batista de Sousa Filho
2409.0,Av. Profº. Francisco Morato (Centro/Bairro) a menos 94m. R. João Batista de Sousa Filho
2410.0,Av. Profº. Vicente Rao (Diadema/Marginal) oposto ao nº 894
2411.0,Av. Profº. Vicente Rao (Diadema/Marginal) oposto ao nº 894
2412.0,Av. Profº. Vicente Rao (Marginal/Diadema) nº 860
2413.0,Av. Profº. Vicente Rao (Marginal/Diadema) nº 860
2414.0,Estr. de Itapecerica (Bairro/Centro) nº 1.873
2415.0,Estr. de Itapecerica (Bairro/Centro) nº 1.873
2416.0,Estr. de Itapecerica (Centro/Bairro) nº 1.742
2417.0,Estr. de Itapecerica (Centro/Bairro) nº 1.742
2418.0,R. Miguel Yunes (Bairro/Centro) a menos 45m. da R. Tabaré
2419.0,R. Miguel Yunes (Centro/Bairro) a menos 170m do nº 343
2420.0,R. Olivia Guedes Penteado (Bairro/Centro) oposto ao nº 1.354
2421.0,R. Olivia Guedes Penteado (Centro/Bairro) nº 1.354
2422.0,"Av. Atlântica (Bairro/Centro) a mais 91,5m. da Av. do Rio Bonito"
2423.0,"Av. Atlântica (Bairro/Centro) a mais 91,5m. da Av. do Rio Bonito"
2424.0,Av. Atlântica (Centro/Bairro) a menos 12m. da R. Porto Artur
2425.0,Av. Atlântica (Centro/Bairro) a menos 12m. da R. Porto Artur
2426.0,Av. Atlântica (Centro/Bairro) nº 1.000
2427.0,Av. Atlântica (Centro/Bairro) nº 1.000
2428.0,"Av. Atlântica (Bairro/Centro) a menos 20,8m do nº 3.771"
2429.0,"Av. Atlântica (Bairro/Centro) a menos 20,8m do nº 3.771"
2430.0,Av. Sen. Teotonio Vilela (Centro/Bairro) nº 4.548
2431.0,Av. Sen. Teotonio Vilela (Centro/Bairro) nº 4.548
2432.0,Av. Eng°. Armando de Arruda Pereira (Centro/Bairro) a mais 65m. da R. das Vitáceas
2433.0,Av. Eng. Armando de Arruda Pereira (Bairro/Centro) n° 5.241
2434.0,Av. Ver. João de Luca (Marginal/Diadema) nº 1.790
2435.0,Av. Ver. João de Luca (Marginal/Diadema) nº 1.790
2436.0,Av. Ver. João de Luca (Diadema/Marginal) a mais 20m. da Trav. Octávio de Abreu Sampaio
2437.0,Av. Ver. João de Luca (Diadema/Marginal) a mais 20m. da Trav. Octávio de Abreu Sampaio
2438.0,Av. Jaguaré (Bairro/Centro) Pça. Francisco Luis Gonzaga
2439.0,Av. Jaguaré (Centro/Bairro) Pça. Francisco Luis Gonzaga
2440.0,Av. Jorge João Saad (Bairro/Centro) Av. Prof. Francisco Morato
2441.0,Estr. de Itapecerica (Itapecerica/SP) Av. Prof. Dr. Telemaco H. M. V. Landendonk
2442.0,Estr. de Itapecerica (SP/Itapecerica) Av. Carlos Caldeira Filho
2444.0,Av. das Nações Unidas (Interlagos/Castelo Branco) a menos 18m da Av. Vitor Manzini
2445.0,"Av. das Nações Unidas  Pista Central (Interlagos/Castelo Branco) a menos 23m do Km 9,5"
2446.0,"Av. das Nações Unidas  Pista Central (Interlagos/Castelo Branco) a menos 7,3m do Km 5,5"
2448.0,Av. dos Bandeirantes (Marginal/Imigrantes) a mais 34m da Av. Washington Luis
2460.0,Av. Jair Ribeiro da Silva (Centro/Bairro) R. Alfredo Ferreira de Carvalho
2461.0,Av. Jair Ribeiro da Silva (Bairro/Centro) R. Alfredo Ferreira de Carvalho
2483.0,Av. Ver. José Diniz (Centro/Bairro) a mais 92m. da R. Américo Brasiliense
2484.0,Av. Ver. José Diniz (Centro/Bairro) a mais 92m. da R. Américo Brasiliense
2485.0,Av. Sen. Teotônio Vilela (Centro/Bairro) oposto n° 1.583
2493.0,Av. Sadamu Inoue (Centro/Bairro - Bairro/Centro) n° 2.666 - oposto ao n° 2.666
2494.0,Av. Sadamu Inoue (Centro/Bairro - Bairro/Centro) n° 2.666 - oposto ao n° 2.666
2496.0,R. Dr°. Luiz Migliano (Vila Sônia/Morumbi - Morumbi - Vila Sônia) n° 644 - oposto n° 644
2497.0,R. Dr°. Luiz Migliano (Vila Sônia/Morumbi - Morumbi - Vila Sônia) n° 644 - oposto n° 644
2498.0,Av. Rodrigues Montemor (Bairro/Centro - Centro/Bairro) n° 533 - Oposto ao n° 533
2499.0,Av. Rodrigues Montemor (Bairro/Centro - Centro/Bairro) n° 533 - Oposto ao n° 533
2500.0,Av. Pedro Bueno (Centro/Bairro - Bairro/Centro) n° 826 - n° 935
2501.0,Av. Pedro Bueno (Centro/Bairro - Bairro/Centro) n° 826 - n° 935
2502.0,Av. Eng°. Alberto De Zagottis (Bairro/Centro - Centro/Bairro) n° 349 - Oposto ao n° 387
2503.0,Av. Eng°. Alberto De Zagottis (Bairro/Centro - Centro/Bairro) n° 349 - Oposto ao n° 387
2504.0,Av. Ângelo Cristianini (Bairro/Centro - Centro/Bairro) n° 1.419 - oposto ao n° 1.419
2505.0,Av. Ângelo Cristianini (Bairro/Centro - Centro/Bairro) n° 1.419 - oposto ao n° 1.419
2508.0,Estr. Do Campo Limpo (Campo Limpo/Marginal) oposto ao n° 640
2509.0,Av. dos Tajurás (Centro/Bairro) a menos 14m. do nº 401
2510.0,Av. Com. Sant'Anna (Itapecerica/M' Boi - M' Boi/Itapecerica) n° 1.370 - n° 1.371
2511.0,Av. Com. Sant'Anna (Itapecerica/M' Boi - M' Boi/Itapecerica) n° 1.370 - n° 1.371
2512.0,Av. Francisco De Paula Quintanilha Ribeiro (Centro/Bairro - Bairro/Centro) n° 280 - oposto ao n° 280
